APP_ID, CIBIL_SCORE_VALUE ,NEW_CUST,CUS_CATGCODE , EMPLOYMENT_TYPE ,AGE, SEX  , NO_OF_DEPENDENTS , MARITAL , EDU_QUA,  P_RESTYPE , P_CATEGORY , EMPLOYEE_TYPE ,  MON_IN_OCC , INCOM_EXP_GMI ,LTV, TENURE ,STATUS
37531,1,NO,1,1,31,F,3,1,0,0,2,1,132,0,0.842459983,24,1
37533,1,NO,1,1,48,M,2,1,0,2,2,1,185,1,0.847633822,24,0
37535,1,NO,1,1,42,F,3,1,0,1,2,1,12,0,0.791076655,24,0
37537,2,NO,1,1,35,F,3,1,1,0,2,1,12,1,0.826076481,36,0
37539,0,YES,1,1,40,F,3,0,1,1,2,1,12,0,0.815245083,24,1
37541,0,YES,1,1,24,F,3,1,0,0,2,1,29,0,0.848496276,24,1
37543,1,NO,1,1,28,F,3,0,0,0,2,1,62,0,0.883442903,36,0
37545,0,YES,1,1,22,F,3,1,0,1,2,1,38,0,0.842459983,24,1
37547,2,NO,1,0,27,F,3,0,0,0,1,0,96,1,0.887002249,24,0
37549,0,YES,1,0,38,F,3,1,0,1,1,0,120,1,0.760259923,12,0
37551,2,NO,1,0,33,F,3,1,0,0,1,0,158,3,0.553725993,18,0
37553,2,NO,1,1,42,F,3,0,1,1,2,1,242,1,0.881209775,24,0
37555,2,NO,1,1,51,F,2,1,1,0,1,1,96,2,0.679456929,24,0
37557,1,NO,0,1,30,F,0,0,1,2,1,1,3,1,0.899989723,36,1
37559,2,NO,0,1,24,F,0,0,1,0,2,1,4,0,0.848372407,24,0
37561,1,NO,1,0,37,F,2,1,0,0,1,1,123,0,0.651351228,36,1
37563,2,NO,1,1,29,F,1,0,1,0,1,1,29,0,0.742385787,24,1
37565,2,NO,1,0,36,F,2,1,0,0,1,1,149,1,0.487155338,12,1
37567,2,NO,1,0,42,F,2,1,1,0,1,1,129,2,0.89010693,24,0
37569,1,NO,1,0,41,F,2,1,1,0,1,1,41,1,0.897303603,18,0
37571,0,YES,1,1,24,F,2,0,1,0,1,1,30,0,0.355793876,12,0
37573,0,YES,1,1,27,F,1,0,0,2,1,1,28,0,0.617772067,24,0
37575,0,YES,1,1,21,F,1,0,1,0,1,1,18,0,0.481197219,24,0
37577,0,YES,1,1,24,F,2,1,1,0,1,1,29,0,0.64923113,24,0
37579,1,NO,1,0,41,F,2,1,1,0,1,1,186,0,0.89854703,12,0
37581,2,NO,1,0,33,F,2,1,0,1,1,1,115,0,0.894757953,36,0
37583,0,YES,1,0,28,F,2,1,0,1,1,1,74,0,0.817623646,12,0
37585,1,NO,1,1,54,F,2,1,1,2,1,1,398,0,0.850131663,18,0
37587,2,NO,1,1,48,F,2,1,1,1,1,1,56,1,0.894684873,36,1
37589,2,NO,0,1,25,F,3,0,1,1,1,1,24,0,0.848881264,24,0
37591,2,NO,0,1,38,F,3,0,1,1,1,1,36,0,0.726729096,24,1
37593,1,NO,1,0,33,F,3,1,0,0,1,0,180,1,0.846509025,12,0
37595,2,NO,1,1,46,F,3,1,0,0,1,0,180,0,0.7234608,24,1
37597,2,NO,0,1,24,F,3,0,1,0,1,1,42,0,0.897115603,24,1
37599,2,NO,1,1,35,F,3,0,0,1,1,1,60,0,0.843588726,24,0
37601,2,NO,1,0,48,F,3,0,0,1,1,0,60,1,0.826760563,24,1
37603,2,NO,1,1,22,F,3,0,1,0,1,1,84,0,0.839325843,24,1
37605,2,NO,1,1,25,F,3,1,1,0,1,1,72,1,0.797468354,36,1
37607,2,NO,1,1,46,F,3,1,0,0,1,1,60,0,0.848681377,36,1
37609,0,YES,1,1,30,M,3,1,1,0,1,1,36,1,0.886093731,18,0
37611,2,NO,0,1,35,M,3,1,1,1,1,1,12,1,0.841628959,24,0
37613,1,NO,1,0,37,F,3,1,1,0,1,0,180,1,0.652839526,18,1
37615,2,NO,1,1,23,M,3,1,1,1,1,1,12,1,0.887628839,36,0
37617,2,NO,1,0,40,F,3,1,1,0,1,0,48,1,0.890954871,24,1
37619,2,NO,0,0,42,F,3,1,1,0,1,0,300,1,0.825965565,24,0
37621,2,NO,0,0,25,F,3,0,1,0,1,0,84,1,0.845570619,24,0
37623,2,NO,1,1,29,F,3,1,1,0,1,1,36,0,0.895215541,36,0
37625,0,NO,1,0,45,F,3,0,1,0,1,0,48,0,0.653547784,24,0
37627,1,NO,1,0,49,F,3,0,1,0,1,0,120,0,0.617691932,24,1
37629,2,NO,1,0,26,F,3,0,0,0,1,0,60,1,0.653543513,24,0
37631,2,NO,1,0,43,F,3,0,1,1,1,0,60,0,0.617691932,24,1
37633,2,NO,0,0,47,F,3,0,1,0,1,0,120,0,0.617691932,36,0
37635,1,NO,0,1,27,F,2,1,1,0,1,1,48,0,0.841464796,24,0
37637,1,NO,0,0,27,F,3,1,1,0,1,0,60,1,0.862453104,24,0
37639,1,NO,0,1,34,F,3,1,1,0,1,1,120,0,0.833333333,36,0
37641,1,NO,1,1,55,F,3,1,1,0,1,1,120,1,0.804280919,18,1
37643,2,NO,1,0,25,M,3,1,1,0,1,0,84,0,0.606966662,18,0
37645,2,NO,1,0,36,F,3,1,0,1,1,0,144,0,0.671785029,24,0
37647,1,NO,1,1,32,F,3,1,1,0,1,1,72,1,0.893671022,36,0
37649,2,NO,1,0,22,F,3,0,0,0,1,0,24,1,0.767620377,24,0
37651,2,NO,1,0,43,F,3,0,1,0,1,0,60,1,0.737898465,18,0
37653,1,NO,1,0,47,F,3,1,1,0,1,0,180,1,0.738225306,18,1
37655,0,YES,1,1,48,F,3,1,1,1,1,1,24,0,0.849746865,36,0
37657,1,NO,1,1,54,F,3,1,1,1,1,1,108,1,0.795454545,24,1
37659,0,YES,1,0,20,F,3,1,1,0,1,0,36,0,0.780923469,24,1
37661,2,NO,1,1,25,F,3,0,1,0,1,1,24,1,0.647027233,24,0
37663,0,YES,1,0,25,F,3,0,1,0,1,0,36,1,0.583287642,12,0
37665,1,NO,0,1,28,F,3,0,1,0,1,1,24,1,0.617691932,24,1
37667,2,NO,0,0,32,F,3,0,1,0,1,0,96,0,0.532793436,12,0
37669,2,NO,1,1,33,F,3,1,1,0,1,1,72,1,0.740434512,24,0
37671,0,NO,1,1,23,F,3,0,1,1,1,1,36,0,0.843942211,24,0
37673,0,YES,1,1,33,F,3,1,1,0,1,1,48,0,0.846998238,24,0
37675,2,NO,1,1,54,F,3,1,0,0,1,1,360,2,0.780911063,18,0
37677,0,YES,1,1,31,M,3,1,1,1,1,1,24,1,0.701590271,24,0
37679,2,NO,1,0,25,F,3,1,1,0,1,0,72,0,0.835282325,24,0
37681,1,NO,1,0,25,F,3,0,1,1,1,0,120,1,0.813927199,36,1
37683,0,YES,1,0,27,F,3,0,1,1,1,0,60,1,0.841498559,36,0
37685,0,YES,1,0,38,F,3,0,1,1,1,0,180,0,0.848863636,36,0
37687,2,NO,1,1,38,M,3,1,1,0,2,1,48,0,0.845854544,24,0
37689,1,NO,1,0,29,F,3,1,0,0,2,2,144,1,0.653539242,24,1
37691,2,NO,0,1,36,F,3,1,0,0,2,1,72,0,0.836530943,36,1
37693,2,NO,0,1,29,F,3,0,0,0,2,1,36,0,0.75886707,24,1
37695,0,NO,1,0,36,F,3,1,0,0,2,1,60,0,0.867193659,36,1
37697,1,NO,1,0,23,F,3,1,0,0,2,1,36,1,0.849121598,36,1
37699,0,YES,1,0,45,F,3,1,0,0,2,1,84,1,0.8492569,36,0
37701,2,NO,1,1,49,M,2,1,1,1,2,1,216,3,0.834474832,24,0
37703,0,NO,1,0,30,F,3,0,0,0,2,1,72,0,0.848962062,36,0
37705,2,NO,1,1,25,F,3,0,1,0,2,1,60,2,0.755929321,24,1
37707,2,NO,1,1,36,F,3,1,0,0,2,1,300,3,0.755929321,24,1
