Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-Apr-19,22.7,22.7,22.7,22.7,22.69950739,203,2,4608,203,100,0,0
16-Apr-19,21.55,22.55,21.55,22.55,22.33333333,12,2,268,12,100,1,1
12-Apr-19,21.5,21.5,21.5,21.5,21.5,988,3,21242,988,100,0,0
11-Apr-19,21.05,21.05,21.05,21.05,21.04733728,169,2,3557,169,100,0,0
09-Apr-19,20.9,21,20.55,20.55,20.9542243,10049,14,210569,10049,100,0.45,-0.35
08-Apr-19,20.8,20.9,20.8,20.9,20.85169492,236,7,4921,236,100,0.1,0.1
05-Apr-19,20.5,20.9,20.5,20.9,20.81320104,2318,15,48245,2288,98.71,0.4,0.4
04-Apr-19,23.05,23.1,20.7,20.7,22.25234098,6194,53,137831,6188,99.9,2.4,-2.35
03-Apr-19,23.25,23.25,22.85,22.95,23.21193416,1458,16,33843,1441,98.83,0.4,-0.3
02-Apr-19,26.85,26.85,23.05,23.2,25.17753947,3357,19,84521,3328,99.14,3.8,-3.65
01-Apr-19,25.5,25.5,25.1,25.1,25.18889173,11721,14,295239,11721,100,0.4,-0.4
29-Mar-19,26.75,26.75,24,25,25.21701669,1857,38,46828,1189,64.03,2.75,-1.75
28-Mar-19,26.5,26.95,26.2,26.65,26.76115994,20139,19,538943,20139,100,0.75,0.15
27-Mar-19,26.65,27.25,25.55,26.4,26.99418343,26648,30,719341,25631,96.18,1.7,-0.25
26-Mar-19,26.85,26.85,26.15,26.6,26.53217012,24759,36,656910,24226,97.85,0.7,-0.25
25-Mar-19,27.25,27.45,24.7,25,27.07538583,35378,73,957873,31675,89.53,2.75,-2.25
22-Mar-19,26.65,28.5,25.15,26.8,26.5211099,9190,26,243729,8593,93.5,3.35,0.15
20-Mar-19,24.8,26.7,24.8,26.7,26.48805207,21510,37,569758,21040,97.81,1.9,1.9
19-Mar-19,24.8,27.8,21,25.9,24.55325153,15239,38,374167,14934,98,6.8,1.1
18-Mar-19,25,26.95,20.35,23.4,23.51786727,12341,37,290234,11842,95.96,6.6,-1.6
15-Mar-19,24.75,24.75,20.25,22.9,22.91294897,28064,44,643029,27636,98.47,4.5,-1.85
14-Mar-19,20.25,23.5,18.05,22.8,21.926798,8579,19,188110,8422,98.17,5.45,2.55
13-Mar-19,17,21,16.5,20.25,19.0872211,5423,32,103510,4763,87.83,4.5,3.25
12-Mar-19,20.05,20.05,17.6,18.1,18.36773428,42150,23,774200,42141,99.98,2.45,-1.95
11-Mar-19,19.15,20,17.7,20,18.30023673,51959,20,950862,46908,90.28,2.3,0.85
08-Mar-19,18.2,19.3,16.5,19,17.59810183,33506,15,589642,33203,99.1,2.8,0.8
07-Mar-19,18.65,18.9,18.6,18.6,18.71818874,13140,11,245957,13140,100,0.3,-0.05
06-Mar-19,18.5,19.5,18.5,18.6,18.63878327,789,6,14706,789,100,1,0.1
